Seq,AOU,English_Common_Name,French_Common_Name,Order,Family,Genus,Species
323,2350,Purple Sandpiper,Bécasseau violet,Charadriiformes,Scolopacidae,Calidris,maritima
324,2410,Baird's Sandpiper,Bécasseau de Baird,Charadriiformes,Scolopacidae,Calidris,bairdii
326,2420,Least Sandpiper,Bécasseau minuscule,Charadriiformes,Scolopacidae,Calidris,minutilla
327,2400,White-rumped Sandpiper,Bécasseau à croupion blanc,Charadriiformes,Scolopacidae,Calidris,fuscicollis
328,2620,Buff-breasted Sandpiper,Bécasseau roussâtre,Charadriiformes,Scolopacidae,Calidris,subruficollis
329,2390,Pectoral Sandpiper,Bécasseau à poitrine cendrée,Charadriiformes,Scolopacidae,Calidris,melanotos
330,2460,Semipalmated Sandpiper,Bécasseau semipalmé,Charadriiformes,Scolopacidae,Calidris,pusilla
331,2470,Western Sandpiper,Bécasseau d'Alaska,Charadriiformes,Scolopacidae,Calidris,mauri
332,2429,unid. small ''peep'' sandpiper,unid petit Bécasseau sp.,Charadriiformes,Scolopacidae,Calidris,sp.
333,2310,Short-billed Dowitcher,Bécassin roux,Charadriiformes,Scolopacidae,Limnodromus,griseus
334,2320,Long-billed Dowitcher,Bécassin à long bec,Charadriiformes,Scolopacidae,Limnodromus,scolopaceus
335,2327,unid. Short-billed / Long-billed Dowitcher,unid Bécassin roux / Bécassin à long bec,Charadriiformes,Scolopacidae,Limnodromus,griseus / scolopaceus
336,2280,American Woodcock,Bécasse d'Amérique,Charadriiformes,Scolopacidae,Scolopax,minor
338,2300,Wilson's Snipe,Bécassine de Wilson,Charadriiformes,Scolopacidae,Gallinago,delicata
340,2631,Common Sandpiper,Chevalier guignette,Charadriiformes,Scolopacidae,Actitis,hypoleucos
341,2630,Spotted Sandpiper,Chevalier grivelé,Charadriiformes,Scolopacidae,Actitis,macularius
342,2560,Solitary Sandpiper,Chevalier solitaire,Charadriiformes,Scolopacidae,Tringa,solitaria
344,2590,Wandering Tattler,Chevalier errant,Charadriiformes,Scolopacidae,Tringa,incana
345,2550,Lesser Yellowlegs,Petit Chevalier,Charadriiformes,Scolopacidae,Tringa,flavipes
346,2580,Willet,Chevalier semipalmé,Charadriiformes,Scolopacidae,Tringa,semipalmata
348,2530,Common Greenshank,Chevalier aboyeur,Charadriiformes,Scolopacidae,Tringa,nebularia
349,2540,Greater Yellowlegs,Grand Chevalier,Charadriiformes,Scolopacidae,Tringa,melanoleuca
350,2555,unid. Greater Yellowlegs / Lesser Yellowlegs,unid Grand Chevalier / Petit Chevalier,Charadriiformes,Scolopacidae,Tringa,melanoleuca / flavipes
352,2240,Wilson's Phalarope,Phalarope de Wilson,Charadriiformes,Scolopacidae,Phalaropus,tricolor
353,2230,Red-necked Phalarope,Phalarope à bec étroit,Charadriiformes,Scolopacidae,Phalaropus,lobatus
354,2220,Red Phalarope,Phalarope à bec large,Charadriiformes,Scolopacidae,Phalaropus,fulicarius
357,360,Pomarine Jaeger,Labbe pomarin,Charadriiformes,Stercorariidae,Stercorarius,pomarinus
358,370,Parasitic Jaeger,Labbe parasite,Charadriiformes,Stercorariidae,Stercorarius,parasiticus
359,380,Long-tailed Jaeger,Labbe à longue queue,Charadriiformes,Stercorariidae,Stercorarius,longicaudus
361,300,Common Murre,Guillemot marmette,Charadriiformes,Alcidae,Uria,aalge
362,310,Thick-billed Murre,Guillemot de Brünnich,Charadriiformes,Alcidae,Uria,lomvia
363,315,unid. Common Murre / Thick-billed Murre,unid Guillemot marmette / Guillemot de Brünnich,Charadriiformes,Laridae,Uria,aalge / lomvia
